"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2601","test_submenu_navigation","PlaywrightDemoQA","Thu Mar 05 21:14:16 UTC 2026","passed","Thu Mar 05 21:14:19 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_submenu_navigation"
"","2734","SimpleLink","PlaywrightDemoQA","Thu Mar 05 21:13:01 UTC 2026","passed","Thu Mar 05 21:13:04 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","SimpleLink"
"","2998","test_multiselect_dropdown","PlaywrightDemoQA","Thu Mar 05 21:14:59 UTC 2026","passed","Thu Mar 05 21:15:02 UTC 2026","SelectMenuTests","PlaywrightDemoQA.Tests.Widgets","SelectMenuTests","test_multiselect_dropdown"
"","2376","ChangingRows_Test","PlaywrightDemoQA","Thu Mar 05 21:13:18 UTC 2026","passed","Thu Mar 05 21:13:21 UTC 2026","WebTablesTests","PlaywrightDemoQA.Tests.Elements","WebTablesTests","ChangingRows_Test"
"","2406","Slider_Move_Test","PlaywrightDemoQA","Thu Mar 05 21:15:09 UTC 2026","passed","Thu Mar 05 21:15:12 UTC 2026","SliderTests","PlaywrightDemoQA.Tests.Widgets","SliderTests","Slider_Move_Test"
"","2734","DynamicLink","PlaywrightDemoQA","Thu Mar 05 21:12:59 UTC 2026","passed","Thu Mar 05 21:13:01 UTC 2026","LinksTests","PlaywrightDemoQA.Tests.Elements","LinksTests","DynamicLink"
"","2566","DatePicker_WithTime_Test","PlaywrightDemoQA","Thu Mar 05 21:14:03 UTC 2026","passed","Thu Mar 05 21:14:05 UTC 2026","DatePickerTests","PlaywrightDemoQA.Tests.Widgets","DatePickerTests","DatePicker_WithTime_Test"
"","3254","test_multiple_tooltips_sequence","PlaywrightDemoQA","Thu Mar 05 21:14:10 UTC 2026","passed","Thu Mar 05 21:14:13 UTC 2026","MenuTests","PlaywrightDemoQA.Tests.Widgets","MenuTests","test_multiple_tooltips_sequence"
"","2740","LargeModal","PlaywrightDemoQA","Thu Mar 05 21:12:34 UTC 2026","passed","Thu Mar 05 21:12:36 UTC 2026","ModalDialogsTests","PlaywrightDemoQA.Tests.AlertsFrameWindows","ModalDialogsTests","LargeModal"
"","13185","Test_Start_ProgressBar","PlaywrightDemoQA","Thu Mar 05 21:14:32 UTC 2026","passed","Thu Mar 05 21:14:45 UTC 2026","ProgressBarTests","PlaywrightDemoQA.Tests.Widgets","ProgressBarTests","Test_Start_ProgressBar"
"","2397","test_sort_list_items","PlaywrightDemoQA","Thu Mar 05 21:13:48 UTC 2026","passed","Thu Mar 05 21:13:50 UTC 2026","SortableTests","PlaywrightDemoQA.Tests.Interactions","SortableTests","test_sort_list_items"
